INFO  - 2013-10-08 14:41:30.528; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/detailed-painter.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/timeline.css} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/decorators.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/events.css} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.531; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/styles/ethers.css} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.536; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/units.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.537; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/de/timeline.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.537; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/en/labellers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.537; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/de/labellers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.538; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/l10n/en/timeline.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.646; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/copyright-vertical.png} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.661; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/progress-running.gif} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.663; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/images/dull-blue-circle.png} status=0 QTime=0 
INFO  - 2013-10-08 14:41:35.869; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/terms params={timestamp=1381236095850&limit=10&terms.fl=name&q=netherland&wt=velocity&v.template=suggest&terms.sort=count&terms.prefix=Netherland} status=0 QTime=1 
INFO  - 2013-10-08 14:41:40.435; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/browse params={q=Netherland+Tax+Treaty&to_day=31&from_day=1&to_month=12&from_month=1&fq=date:[1987-01-01T00:00:00Z+TO+1987-12-31T00:00:00Z]} hits=1 status=0 QTime=43 
INFO  - 2013-10-08 14:41:40.512; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/main.css&contentType=text/css} status=0 QTime=0 
